,image_id,vehicle_count
0,0,3
1,1,1
2,2,7
3,3,4
4,4,5
5,5,1
6,6,6
7,7,6
8,8,2
9,9,3
10,10,14
11,11,7
12,12,6
13,13,9
14,14,5
15,15,5
16,16,2
17,17,8
18,18,6
19,19,7
20,20,9
21,21,7
22,22,3
23,23,3
24,24,2
25,25,1
26,26,11
27,27,4
28,28,4
29,29,9
30,30,8
31,31,4
32,32,7
33,33,2
34,34,1
35,35,8
36,36,4
37,37,8
38,38,5
39,39,2
40,40,3
41,41,5
42,42,3
43,43,7
44,44,6
45,45,7
46,46,4
47,47,11
48,48,3
49,49,10
50,50,6
51,51,2
52,52,3
53,53,3
54,54,2
55,55,3
56,56,6
57,57,4
58,58,2
59,59,5
60,60,6
61,61,4
62,62,1
63,63,4
64,64,8
65,65,2
66,66,11
67,67,8
68,68,5
69,69,6
70,70,5
71,71,4
72,72,6
73,73,5
74,74,6
75,75,22
76,76,7
77,77,13
78,78,7
79,80,4
80,81,7
81,82,6
82,83,2
83,84,3
84,85,8
85,86,7
86,87,5
87,88,6
88,89,9
89,90,6
90,91,7
91,92,3
92,93,2
93,94,3
94,95,17
95,96,4
96,97,10
97,98,16
98,99,9
99,100,4
100,101,2
101,102,3
102,103,9
103,104,50
104,105,11
105,106,2
106,107,14
107,108,5
108,109,8
109,110,2
110,111,6
111,112,1
112,113,10
113,114,6
114,115,4
115,116,9
116,117,4
117,118,6
118,119,8
119,120,5
120,121,6
121,122,6
122,123,2
123,124,6
124,125,3
125,126,2
126,127,8
127,128,4
128,129,2
129,130,5
130,131,4
131,132,8
132,133,8
133,134,8
134,135,8
135,136,8
136,137,4
137,138,3
138,139,4
139,140,5
140,141,5
141,142,4
142,143,5
143,144,4
144,145,2
145,146,2
146,147,4
147,148,4
148,149,3
149,150,2
150,151,4
151,152,5
152,153,14
153,154,13
154,155,6
155,156,5
156,157,2
157,158,6
158,159,1
159,160,5
160,161,6
161,162,5
162,163,1
163,164,4
164,165,4
165,166,2
166,167,11
167,168,3
168,169,17
169,170,4
170,171,3
171,172,4
172,173,5
173,174,10
174,175,7
175,176,10
176,177,4
177,178,5
178,179,5
179,180,1
180,181,2
181,182,14
182,183,5
183,184,17
184,185,4
185,186,5
186,187,8
187,188,3
188,189,6
189,190,7
190,191,10
191,192,4
192,193,1
193,194,2
194,195,13
195,196,1
196,197,15
197,198,5
198,199,3
199,200,4
200,201,8
201,202,3
202,203,4
203,204,3
204,205,4
205,206,2
206,207,8
207,208,7
208,209,4
209,210,4
210,211,6
211,212,3
212,213,1
213,214,4
214,215,4
215,216,10
216,217,8
217,218,2
218,219,4
219,220,4
220,221,9
221,222,4
222,223,3
223,224,7
224,225,7
225,226,4
226,227,4
227,228,3
228,229,3
229,230,6
230,231,1
231,232,9
232,233,2
233,234,1
234,235,3
235,236,3
236,237,1
237,238,1
238,239,35
239,240,9
240,241,3
241,242,12
242,243,7
243,244,11
244,245,4
245,246,23
246,247,3
247,248,11
248,249,3
249,250,5
250,251,3
251,252,3
252,253,2
253,254,3
254,255,6
255,256,3
256,257,2
257,258,7
258,259,2
259,260,3
260,261,2
261,262,6
262,263,7
263,264,5
264,265,9
265,266,5
266,267,11
267,268,11
268,269,7
269,270,2
270,271,5
271,272,8
272,273,15
273,274,5
274,275,3
275,276,3
276,277,3
277,278,3
278,279,3
279,280,3
280,281,4
281,282,2
282,283,9
283,284,5
284,285,4
285,286,13
286,287,7
287,288,3
288,289,6
289,290,3
